Who,ID,Day/Night,Date,Site,Transect,Species,Meter,Stage,clutches,eggs,Height,Locn,Position of Leaf,Distance to margin,Leaf area,Photos,other EM,dist to nearest othr EM,Plant Family,Plant species,Leaf type,Water depth,Water velocity,Strm subst,Parent,parent position,health at first obs,Leaf damage?,Notes
MET,45.1,N,18-Oct-14,P5,RT4,HYAVAL,,,3,,,,under,,,5122-5133,,,Piperaceae,Piper pentagonum,hairy,,,,",ale and female; all ID 45 with same male",,,,
MET,45.2,N,18-Oct-14,P5,RT4,HYAVAL,,,3,,,,under,,,5122-5133,,,Piperaceae,Piper pentagonum,hairy,,,,",ale and female",,,,
MET,45.3,N,18-Oct-14,P5,RT4,HYAVAL,,,3,,,,under,,,5122-5133,,,Piperaceae,Piper pentagonum,hairy,,,,",ale and female",,,,
MET,n5,N,22-Oct-14,P5,RT1,ESPPRO,,,1,,105,over water,top,,,589-598,,,Piperaceae,Piper decurrens,glabrous,,,mud,no,,,,
MET,n6,N,22-Oct-14,P5,RT1,ESPPRO,,,1,,121,over water,top,,,599-603,,,Arecaceae,,glabrous,,,,,,,,bifucated leaf (palmish but not?) on all fallen trees
MET,n7,N,26-Oct-14,P5,RT2,HYAVAL,,,1,,167,,under,,,,,,Rhamnaceae,Colubrina spinosa,glabrous,,,,no,,,,
MET,n8,N,26-Oct-14,P5,RT2,TERSPI,50,1,1,18,140,over water,under,,,5387,,,Melastomataceae,Miconia gracilis,glabrous,32,,,no,,,damaged leaf,
MET,n9,N,26-Oct-14,P5,RT2,TERSPI,50,4,1,,110,over water,under,,,5388,,,Melastomataceae,Miconia gracilis,glabrous,,,,no,,,damaged leaf,
MET,123,N,11-Nov-14,Tir,RT3,TERSPI,,1,1,17,230,,under,0,,5719-5727,,,Araceae,,glabrous,,,,no,,,,
MET,181,N,12-Nov-14,Tir,RT2,TERSPI,,,1,,131,,under,,,,,,Piperaceae,Piper pentagonum,hairy,,,,no,,,,
MET,321.1,N,24-Nov-14,POT4,RT1,HYAVAL,,2,2,39,,over water,under,,,6153-6165,,,Marantaceae,Geoppertia inocephala,glabrous,,,,"male guarding not touching, same male as 321.2",not touching,,,
MET,321.2,N,24-Nov-14,POT4,RT1,HYAVAL,,3,2,38,,over water,under,,,6153-6165,,,Marantaceae,Geoppertia inocephala,glabrous,,,,"male guarding not touching, same male as 321.1",not touching,,,
MET,734,N,25-Jan-15,P5,RT2,TERSPI,10,3,1,,150,over water,under,,,7590-7595,,,Arecaceae,,glabrous,,,,no,,,,
MET,735,N,25-Jan-15,P5,RT2,TERSPI,10,2,1,,87,over bank,under,,,7596-7600,,,Araceae,Spathiphyllum sp.,glabrous,,,,no,,,,
MET,721,N,25-Jan-15,P5,RT4,ESPPRO,20,,1,,260,over water,top,,,7554-7561,,,Salicaceae,Ryania speciosa,glabrous,,,,no,,,,
MET,865,N,6-Feb-15,POT4,RT1,TERSPI,,,1,,115,over water,under,,,7805-7809,,,Piperaceae,Piper pseudobumbratum,glabrous,,,,no,,,,
MET,866,N,6-Feb-15,POT4,RT1,TERSPI,,,1,,58,over bank,under,,,7968-7974,,,Araceae,Philodendron grandipes,glabrous,,,,no,,fungus/parasite,,
MET,915,N,10-Feb-15,P13,RT3,TERSPI,50,1,1,24,126,over water,under,,,8209-8213,,,Heliconiaceae,,glabrous,,,,no,,,damaged leaf,
MET,949,N,17-Feb-15,Tir,RT1,ESPPRO,,2,1,,165,over water,moss,,,8310-8311,,,Moss,,other,,,mud,no,,,,
MET,947,N,17-Feb-15,Tir,RT2,TERSPI,,1,1,15,220,over water,under,,,8308,,,Piperaceae,Piper pentagonum,hairy,,,,no,,,,
MET,973,N,18-Feb-15,Tir,RT1,TERSPI,,1,1,18,,over bank,under,,,8396,,,Piperaceae,Piper pentagonum,hairy,,,mud,male nearby leaf onsame plant,,,,
MET,964,N,18-Feb-15,Tir,RT2,TERSPI,,4,1,,,over water,under,,,8368,,,Araceae,,glabrous,,,,no,,,,
MET,969,N,18-Feb-15,Tir,RT3,ESPPRO,,,1,,,over water,moss,,,8390-8391,,,Moss,,other,,,,no,,,,
MET,1045,N,23-Feb-15,P1,RT1,ESPPRO,,,1,,221,over water,top,,,8531-8536,,,Elaeocarpaceae,Sloanea geniculata,hairy,,,mud,no,,,,
MET,1046,N,23-Feb-15,P1,RT1,ESPPRO,,,1,,200,,moss,,,8531-8536,,,Moss,,other,,,mud,no,,,,
MET,1056,N,24-Feb-15,P1,RT3,TERSPI,,,1,,200,over water,under,,,8528,,,Costaceae,,glabrous,,,mud,no,,,,
MET,3457,N,21-May-15,POT4,RT1,ESPPRO,,,1,,,over water,moss,,,,,,Moss,,other,,,,no,,,,
MET,3458,N,21-May-15,POT4,RT1,TERSPI,,,1,,80,over water,under,,,,,,Piperaceae,Piper pentagonum,hairy,,,,no,,,,
MET,3459,N,21-May-15,POT4,RT1,HYAVAL,,,1,,140,over water,under,,,,,,Marantaceae,Geoppertia inocephala,glabrous,,,,male guarding ,not touching,,,
MET,2017,N,9-Jun-15,P5,RT4,HYAVAL,,,1,,65,,,,,9505,,,Hernandiaceae,Hernandia didymantha,glabrous,,,,male guarding ,not touching,,,
MET,2039,N,10-Jun-15,P5,RT1,ESPPRO,,,1,,190,over water,top,,,9582-9591,,,Piperaceae,Piper decurrens,glabrous,,,,no,,,,
MET,2041,N,10-Jun-15,P5,RT1,ESPPRO,,4,1,,124,over bank,top,,,9598,,,Piperaceae,Piper decurrens,glabrous,,,,no,,,,
MET,2044,N,10-Jun-15,P5,RT1,HYAVAL,,1,1,29,356,over water,under,,,9599-9603,,,Moraceae,Ficus sp.,glabrous,,,,male guarding ,not touching,,,
MET,2029,N,10-Jun-15,P5,RT2,HYAVAL,,1,1,,>2m,over water,under,,,9549,,,Arecaceae,Geonoma congesta,glabrous,,,,male guarding ,not touching,,,
