"","x"
"1",74.962
"2",29
"3",46.138
"4",6
"5",39
"6",384.494
"7",32
"8",113.209
"9",924.53
"10",93.569
"11",20
"12",83.493
"13",39
"14",28
"15",129.753
"16",49.03
"17",39
"18",28
"19",406.955
"20",3.199
"21",262.359
"22",51.752
"23",12.79
"24",11
"25",22
"26",30
"27",1363.639
"28",47
"29",31
"30",34
"31",2.908
"32",9
"33",42
"34",3.199
"35",151.849
"36",73.381
"37",NA
"38",417.953
"39",35.654
"40",32
"41",35.654
"42",177.114
"43",35
"44",7
"45",16
"46",764.836
"47",66.555
"48",634.009
"49",34
"50",57.538
"51",23.165
"52",132.156
"53",74.962
"54",38.761
"55",92.46
"56",35
"57",73.381
"58",222.386
"59",121.042
"60",211.802
"61",13
"62",406.955
"63",57.538
"64",178.081
"65",764.836
"66",63.029
"67",49.03
"68",51.808
"69",36
"70",86.984
"71",93.569
"72",63.029
"73",24.498
"74",3
"75",83.493
"76",40.31
"77",178.081
"78",764.836
"79",406.955
"80",1776.186
"81",29
"82",83.407
"83",25
"84",118.714
"85",41
"86",151.849
"87",41
"88",17
"89",299.851
"90",7
"91",107.113
"92",139.212
"93",14
"94",1328.634
"95",19
"96",40.31
"97",133.313
"98",177.114
"99",103.922
"100",103.922
"101",219.741
"102",333.261
"103",4
"104",65.606
"105",7
"106",49.03
"107",406.955
"108",118.714
"109",42
"110",262.359
"111",NA
"112",10
"113",1
"114",15
"115",46
"116",37
"117",764.836
"118",118.714
"119",3
"120",46.138
"121",710.351
"122",87.54
"123",38.761
"124",35
"125",6
"126",83.493
"127",162.685
"128",47
"129",21
"130",211.802
"131",6
"132",924.53
"133",6
"134",133.681
"135",113.209
"136",6
"137",11
"138",38
"139",40
"140",18.325
"141",45
"142",25.682
"143",1363.639
"144",32
"145",16
"146",17
"147",37
"148",20
"149",6
"150",4
"151",299.851
"152",211.802
"153",417.953
"154",417.953
"155",179.031
"156",24.498
"157",51.808
"158",18
"159",73.381
"160",262.359
"161",15
"162",36.746
"163",151.849
"164",45
"165",41
"166",129.753
"167",73.186
"168",36
"169",222.716
"170",90.152
"171",122.469
"172",12
"173",40.31
"174",74.962
"175",46
"176",61.04
"177",11
"178",121.042
"179",6
"180",333.261
"181",23
"182",162.685
"183",87.54
"184",24.334
"185",1363.639
"186",3.199
"187",26
"188",66.555
"189",27
"190",271.475
"191",710.351
"192",299.851
"193",211.802
"194",22
"195",87.54
"196",271.475
"197",12.79
"198",299.851
"199",113.209
"200",162.685
"201",1328.634
"202",12
"203",269.694
"204",299.851
"205",74.962
"206",40
"207",87.54
"208",36.16
"209",40.852
"210",132.41
"211",42
"212",51.808
"213",37
"214",129.753
"215",63.896
"216",35
"217",6
"218",177.114
"219",151.849
"220",103.922
"221",135.803
"222",1328.634
"223",150.689
"224",1
"225",35.401
"226",333.261
"227",51.752
