"","x"
"1",129.517
"2",84.083
"3",46.602
"4",859.763
"5",39.201
"6",234.703
"7",76.936
"8",9.796
"9",11.667
"10",129.517
"11",40.451
"12",232.565
"13",98.248
"14",222.873
"15",5.876
"16",62.46
"17",1241.072
"18",262.538
"19",60.662
"20",6.771
"21",156.156
"22",5.825
"23",73.198
"24",140.292
"25",568.295
"26",211.93
"27",81.569
"28",905.86
"29",277.908
"30",398.515
"31",35.555
"32",133.169
"33",81.569
"34",211.93
"35",6.304
"36",NA
"37",95.184
"38",95.915
"39",9.776
"40",578.69
"41",98.248
"42",35.036
"43",7.739
"44",7.739
"45",57.966
"46",211.963
"47",9.313
"48",149.923
"49",84.083
"50",81.569
"51",7.739
"52",321.062
"53",327.311
"54",6.304
"55",638.107
"56",77.455
"57",140.292
"58",2387.087
"59",7.739
"60",35.555
"61",859.763
"62",67.215
"63",33.895
"64",220.746
"65",93.432
"66",234.703
"67",NA
"68",518.271
"69",29.812
"70",59.092
"71",733.335
"72",256.793
"73",859.763
"74",7.739
"75",NA
"76",185.973
"77",639.048
"78",411.505
"79",218.055
"80",15.601
"81",320.988
"82",530.835
"83",98.248
"84",NA
"85",56.387
"86",2860.871
"87",NA
"88",NA
"89",105.867
"90",66.016
"91",76.936
"92",222.873
"93",10.981
"94",11.667
"95",60.496
"96",95.915
"97",72.306
"98",125.593
"99",2860.871
"100",218.055
"101",1241.072
"102",499.118
"103",262.538
"104",146.494
"105",89.545
"106",276.951
"107",267.583
"108",11.055
"109",232.565
"110",481.42
"111",234.703
"112",318.002
"113",1491.351
"114",211.963
"115",262.538
"116",35.036
"117",29.812
"118",33.895
"119",405.29
"120",48.603
"121",208.862
"122",60.908
"123",530.835
"124",639.048
"125",6.876
"126",76.936
"127",237.512
"128",39.174
"129",53.864
"130",499.118
"131",15.601
"132",124.73
"133",68.655
"134",5.954
"135",59.092
"136",156.156
"137",214.225
"138",146.494
"139",1584.975
"140",139.216
"141",530.835
"142",53.723
"143",77.505
"144",6.771
"145",35.036
"146",53.607
"147",73.198
"148",15.601
"149",185.973
"150",2387.087
"151",1491.351
"152",141.73
"153",140.292
"154",113.53
"155",78.37
"156",81.569
"157",77.903
"158",2860.871
"159",11.529
"160",65.724
"161",253.709
"162",57.966
"163",133.169
"164",156.156
"165",521.243
"166",133.169
"167",118.535
"168",10.661
"169",9.776
"170",60.496
"171",7.739
"172",NA
"173",1584.975
"174",130.981
"175",51.353
"176",125.593
"177",454.813
"178",84.083
"179",578.69
"180",93.423
"181",39.201
"182",7.684
"183",53.864
"184",60.662
"185",59.935
"186",NA
"187",17.889
"188",140.292
"189",129.517
"190",125.593
"191",53.864
"192",53.723
"193",9.611
"194",9.796
"195",9.313
"196",185.973
"197",578.69
"198",76.936
"199",129.517
"200",53.864
"201",859.763
"202",6.876
"203",39.174
"204",9.776
"205",327.311
"206",231.353
"207",40.451
"208",214.225
"209",47.435
"210",139.216
"211",859.763
"212",194.341
"213",5.954
"214",638.107
"215",1584.975
"216",327.311
"217",185.973
"218",125.593
"219",220.828
"220",77.505
"221",93.423
"222",276.951
"223",59.935
"224",125.593
"225",89.545
"226",405.29
"227",77.455
"228",256.793
"229",11.667
"230",256.793
"231",256.793
"232",172.833
"233",321.062
"234",231.353
"235",149.923
"236",156.156
"237",733.335
"238",15.601
"239",89.545
"240",411.505
"241",327.311
"242",9.313
"243",194.341
"244",72.001
"245",95.915
"246",140.292
"247",133.169
"248",15.601
"249",253.709
"250",6.771
"251",53.864
"252",95.184
"253",231.353
"254",59.935
"255",66.016
"256",1584.975
"257",65.724
"258",9.796
"259",38.364
"260",53.723
