"","x"
"1",121.702
"2",106.196
"3",165.29
"4",205.032
"5",128.742
"6",104.306
"7",40.831
"8",53.04
"9",32.928
"10",NA
"11",41.816
"12",34.172
"13",40.831
"14",141.716
"15",80.799
"16",64.814
"17",37.7
"18",80.845
"19",121.702
"20",59.093
"21",24.914
"22",204.015
"23",8.217
"24",11.793
"25",37.7
"26",160.43
"27",240.603
"28",135.971
"29",105.834
"30",187.864
"31",106.196
"32",121.702
"33",64.814
"34",10.714
"35",39.896
"36",220.125
"37",98.835
"38",47.698
"39",770.961
"40",231.646
"41",165.29
"42",60.194
"43",319.785
"44",35.42
"45",469.702
"46",163.69
"47",52.116
"48",133.118
"49",11.793
"50",42.992
"51",16.958
"52",127.381
"53",457.012
"54",770.961
"55",206.497
"56",80.799
"57",94.227
"58",41.816
"59",105.863
"60",98.835
"61",47.698
"62",57.141
"63",6.533
"64",37.926
"65",254.86
"66",142.778
"67",23.841
"68",59.801
"69",23.841
"70",117.976
"71",205.032
"72",NA
"73",48.8
"74",105.863
"75",142.778
"76",50.32
"77",17.542
"78",231.646
"79",34.172
"80",121.702
"81",85.448
"82",176.895
"83",80.848
"84",161.693
"85",231.646
"86",171.303
"87",42.631
"88",106.196
"89",142.778
"90",6.533
"91",47.944
"92",142.778
"93",91.535
"94",119.062
"95",165.29
"96",124.951
"97",9.727
"98",39.896
"99",128.742
"100",92.315
"101",231.646
"102",133.697
"103",51.14
"104",138.471
"105",135.971
"106",138.471
"107",71.005
"108",205.032
"109",254.86
"110",141.716
"111",220.125
"112",160.43
"113",18.901
"114",8.217
"115",469.702
"116",37.926
"117",67.291
"118",37.007
"119",291.439
"120",48.392
"121",42.631
"122",142.778
"123",86.482
"124",132.046
"125",50.32
"126",48.392
"127",52.302
"128",35.42
"129",40.831
"130",166.114
"131",41.816
"132",35.514
"133",133.118
"134",442.728
"135",124.951
"136",137.262
"137",30.47
"138",83.73
"139",10.714
"140",105.863
"141",469.702
"142",133.697
"143",166.114
"144",100.146
"145",80.845
"146",165.29
"147",59.093
"148",160.583
"149",83.73
"150",44.744
"151",171.977
"152",83.761
"153",37.7
"154",11.793
"155",131.034
"156",30.47
"157",206.497
"158",75.501
"159",127.381
"160",71.013
"161",83.73
"162",171.303
"163",NA
"164",NA
"165",148.601
"166",44.744
"167",17.542
"168",117.982
"169",148.22
"170",128.742
"171",58.567
"172",71.013
"173",58.567
"174",128.181
"175",102.231
"176",131.034
"177",138.471
"178",457.012
"179",NA
"180",133.697
"181",319.785
"182",58.567
"183",124.951
"184",52.302
"185",10.714
"186",64.814
"187",57.141
"188",77.297
"189",NA
"190",163.69
"191",75.501
"192",83.73
"193",124.951
"194",817.67
"195",37.926
"196",457.012
"197",77.297
"198",47.698
"199",23.841
"200",67.29
"201",817.67
"202",121.702
"203",142.778
"204",80.799
"205",98.835
"206",263.998
"207",770.961
"208",41.816
"209",105.863
"210",106.196
"211",128.181
"212",83.73
"213",64.814
"214",64.814
"215",48.8
"216",30.47
"217",17.542
"218",185.769
"219",61.874
"220",442.728
"221",119.062
"222",18.901
"223",NA
"224",60.194
"225",133.697
"226",50.32
"227",57.141
"228",176.895
"229",160.583
"230",37.926
"231",187.864
"232",1290.838
"233",8.217
"234",16.958
"235",47.698
"236",86.482
"237",92.315
"238",104.306
"239",137.262
"240",205.032
"241",32.398
"242",53.575
"243",1495.514
"244",106.196
"245",17.542
"246",127.381
"247",201.173
"248",75.501
"249",60.194
"250",41.816
"251",59.801
"252",23.841
"253",98.835
"254",137.262
"255",192.65
"256",50.32
"257",52.116
"258",104.306
"259",1495.514
"260",60.194
"261",254.86
"262",71.005
"263",51.14
"264",83.73
"265",67.29
"266",71.005
"267",NA
"268",75.501
"269",166.114
"270",142.778
"271",67.29
"272",NA
"273",64.814
"274",51.14
"275",53.04
"276",165.29
"277",47.772
"278",61.874
"279",98.835
"280",35.514
"281",35.42
"282",42.672
"283",NA
"284",39.896
"285",469.702
"286",32.398
"287",240.603
"288",319.785
"289",171.303
"290",156.381
"291",NA
"292",132.046
"293",NA
