"","x"
"1",105.834
"2",105.863
"3",78.898
"4",67.291
"5",132.046
"6",53.575
"7",42.672
"8",29.503
"9",104.306
"10",319.785
"11",161.693
"12",35.514
"13",80.848
"14",NA
"15",11.793
"16",103.606
"17",83.761
"18",185.769
"19",141.716
"20",124.951
"21",127.381
"22",142.778
"23",53.575
"24",116.698
"25",NA
"26",94.557
"27",77.297
"28",185.769
"29",148.22
"30",161.098
"31",NA
"32",NA
"33",50.32
"34",61.304
"35",61.874
"36",39.896
"37",67.29
"38",138.471
"39",41.816
"40",40.831
"41",176.895
"42",116.698
"43",106.196
"44",100.146
"45",29.503
"46",163.69
"47",61.874
"48",94.227
"49",92.315
"50",148.601
"51",133.118
"52",86.482
"53",NA
"54",52.223
"55",35.514
"56",59.801
"57",117.982
"58",98.835
"59",38.023
"60",47.698
"61",205.032
"62",205.032
"63",42.631
"64",61.874
"65",102.231
"66",117.982
"67",NA
"68",61.874
"69",NA
"70",105.834
"71",71.013
"72",127.381
"73",57.141
"74",61.874
"75",39.896
"76",59.801
"77",137.262
"78",166.114
"79",60.91
"80",NA
"81",142.778
"82",38.023
"83",NA
"84",71.005
"85",59.801
"86",NA
"87",51.14
"88",9.727
"89",NA
"90",127.381
"91",149.731
"92",52.223
"93",127.381
"94",93.007
"95",80.848
"96",53.575
"97",94.557
"98",NA
"99",161.098
"100",100.146
"101",148.22
"102",1290.838
"103",117.982
"104",161.693
"105",37.7
"106",156.381
"107",38.023
"108",135.971
"109",254.86
"110",34.172
"111",206.709
"112",171.303
"113",291.439
"114",201.173
"115",23.841
"116",100.146
"117",11.793
"118",52.302
"119",42.631
"120",128.181
"121",NA
"122",50.32
"123",18.752
"124",42.992
"125",59.093
"126",171.303
"127",138.471
"128",187.864
"129",205.032
"130",105.863
"131",469.702
"132",176.895
"133",644.945
"134",38.023
"135",26.347
"136",176.895
"137",80.848
"138",139.64
"139",319.785
"140",75.501
"141",457.012
"142",32.928
"143",86.482
"144",37.007
"145",42.672
"146",48.8
"147",163.69
"148",37.926
"149",10.714
"150",1276.674
"151",131.034
"152",142.778
"153",80.845
"154",94.227
"155",148.601
"156",59.093
"157",47.944
"158",291.439
"159",71.005
"160",94.227
"161",9.727
"162",51.14
"163",23.841
"164",142.92
"165",163.69
"166",71.013
"167",263.998
"168",220.125
"169",93.007
"170",135.971
"171",171.303
"172",NA
"173",139.64
"174",176.895
"175",105.834
"176",817.67
"177",47.944
"178",163.69
"179",187.864
"180",161.098
"181",105.863
"182",18.901
"183",53.04
"184",83.761
"185",26.347
"186",77.297
"187",32.398
"188",38.023
"189",64.814
"190",52.223
"191",201.173
"192",117.976
"193",148.22
"194",67.291
"195",92.315
"196",291.439
"197",171.977
"198",71.013
"199",71.005
"200",38.023
"201",53.04
"202",78.898
"203",148.22
"204",119.062
"205",119.062
"206",52.116
"207",231.646
"208",16.958
"209",161.098
"210",817.67
"211",NA
"212",9.727
"213",39.896
"214",254.86
"215",88.771
"216",263.998
"217",53.04
"218",23.841
"219",132.046
"220",201.173
"221",131.034
"222",220.125
"223",206.709
"224",88.771
"225",1495.514
"226",8.217
"227",35.514
"228",142.778
"229",121.702
"230",59.093
"231",204.043
"232",37.926
"233",105.834
"234",469.702
"235",165.29
"236",32.928
"237",176.895
"238",135.971
"239",32.928
"240",67.29
"241",52.223
"242",18.752
"243",117.976
"244",92.315
"245",30.47
"246",32.928
"247",57.141
"248",29.503
"249",37.007
"250",37.7
"251",137.262
"252",133.118
"253",138.471
"254",60.91
"255",442.728
"256",NA
"257",206.709
"258",NA
"259",128.742
"260",139.64
"261",192.65
"262",58.567
"263",817.67
"264",128.742
"265",8.217
"266",30.47
"267",148.601
"268",23.841
"269",160.43
"270",47.944
"271",53.04
"272",51.14
"273",127.381
"274",133.697
"275",137.262
"276",71.005
"277",30.47
"278",32.928
"279",160.43
"280",128.742
"281",185.769
"282",42.631
"283",NA
"284",52.116
"285",457.012
"286",26.347
"287",220.125
"288",160.43
"289",40.831
"290",10.714
"291",204.043
"292",817.67
"293",105.863
"294",88.771
"295",59.801
"296",37.7
"297",80.799
"298",160.583
"299",47.944
"300",85.448
"301",71.005
"302",59.801
"303",102.231
"304",457.012
"305",135.408
"306",47.944
"307",135.971
"308",176.895
"309",38.023
"310",6.533
"311",NA
"312",206.709
"313",24.914
"314",148.22
"315",NA
"316",131.034
"317",88.771
"318",41.816
"319",161.098
"320",52.223
"321",133.118
"322",53.04
"323",42.631
"324",171.977
"325",91.535
"326",67.291
"327",23.841
"328",469.702
"329",48.392
"330",NA
"331",80.799
"332",NA
"333",128.181
"334",38.023
"335",42.672
"336",145.655
"337",50.32
"338",104.306
"339",145.655
"340",47.698
"341",105.834
"342",187.864
"343",29.503
"344",50.32
"345",220.125
"346",254.86
"347",91.535
"348",204.015
"349",53.04
"350",NA
"351",469.702
"352",204.043
"353",NA
"354",1495.514
"355",319.785
"356",11.793
"357",116.698
"358",50.32
"359",39.896
"360",50.32
"361",137.262
"362",71.013
"363",8.217
"364",163.69
"365",93.007
"366",160.583
"367",128.742
"368",263.998
"369",54.224
"370",135.408
"371",204.015
"372",205.032
"373",193.116
"374",37.007
"375",165.29
"376",156.381
"377",17.542
"378",NA
"379",442.728
"380",161.098
"381",34.172
"382",85.448
"383",61.304
"384",42.672
"385",37.007
"386",NA
"387",185.769
"388",160.583
"389",135.971
"390",135.971
"391",57.141
"392",105.863
"393",133.697
"394",NA
"395",24.914
"396",37.926
"397",149.731
"398",44.744
"399",319.785
"400",148.601
"401",163.69
"402",6.533
"403",127.381
"404",204.015
"405",NA
"406",94.557
"407",442.728
"408",52.116
"409",10.714
"410",57.141
"411",1290.838
"412",42.631
"413",100.146
"414",160.583
"415",29.503
"416",319.785
"417",29.503
"418",9.727
"419",39.896
"420",NA
"421",119.062
"422",37.7
"423",231.646
"424",206.497
"425",10.714
"426",51.14
"427",85.448
"428",34.172
"429",42.672
"430",48.392
"431",75.501
"432",205.032
"433",220.125
"434",94.227
"435",148.22
"436",457.012
"437",34.172
"438",139.64
"439",18.752
"440",131.034
"441",47.944
"442",42.992
"443",86.482
"444",469.702
"445",119.062
"446",85.448
"447",48.8
"448",192.65
"449",30.47
"450",529.837
"451",53.04
"452",142.778
"453",NA
"454",160.43
"455",88.771
"456",50.32
"457",145.655
"458",61.304
"459",254.86
"460",18.752
"461",35.514
"462",26.347
"463",1290.838
"464",53.575
"465",192.65
"466",42.992
"467",291.439
"468",171.303
"469",94.227
"470",37.7
"471",192.65
"472",11.793
"473",52.223
"474",9.727
"475",141.716
"476",204.015
"477",50.32
"478",263.998
"479",128.181
"480",206.497
"481",24.914
"482",NA
"483",94.227
"484",156.381
"485",48.392
"486",67.29
"487",187.864
"488",78.898
"489",59.801
"490",135.971
"491",98.835
"492",121.702
"493",92.315
"494",139.64
"495",171.303
"496",16.958
"497",50.32
"498",NA
"499",121.702
"500",41.816
"501",133.697
"502",1495.514
"503",205.032
"504",149.731
"505",61.304
"506",61.874
"507",51.14
"508",171.303
"509",78.898
"510",59.093
"511",85.448
"512",124.951
"513",64.814
"514",171.977
"515",92.315
"516",263.998
"517",166.114
"518",137.262
"519",52.302
"520",71.013
"521",644.945
"522",319.785
"523",NA
"524",39.896
"525",78.898
"526",204.043
"527",51.14
"528",42.992
"529",442.728
"530",NA
"531",42.672
"532",91.535
"533",644.945
"534",139.64
"535",119.062
"536",133.118
"537",88.771
"538",80.799
"539",18.752
"540",291.439
"541",176.895
"542",161.098
"543",75.501
"544",26.347
"545",185.769
"546",133.697
"547",206.709
"548",94.227
"549",98.835
"550",185.769
"551",116.698
"552",75.501
"553",83.73
"554",105.863
"555",137.262
"556",9.727
"557",38.023
"558",132.046
"559",105.863
"560",59.093
"561",204.043
"562",102.231
"563",23.841
"564",529.837
"565",83.73
"566",64.814
"567",58.567
"568",88.771
"569",124.951
"570",128.742
"571",8.217
"572",1495.514
"573",6.533
"574",18.752
"575",138.471
"576",47.698
"577",1276.674
"578",117.982
"579",770.961
"580",135.408
"581",817.67
"582",171.977
"583",149.731
"584",26.347
"585",6.533
"586",457.012
"587",29.503
"588",171.303
"589",6.533
"590",50.32
"591",442.728
"592",78.898
"593",83.761
"594",132.046
"595",127.381
"596",61.874
"597",644.945
"598",32.928
"599",160.583
"600",117.982
"601",135.971
"602",52.302
"603",149.731
"604",105.863
"605",52.302
"606",NA
"607",67.29
"608",57.141
"609",35.42
"610",204.015
"611",51.14
"612",770.961
"613",291.439
"614",135.971
"615",240.603
"616",35.42
"617",85.448
"618",29.503
"619",10.714
"620",94.557
"621",145.655
"622",78.898
"623",135.971
"624",29.503
"625",204.043
"626",148.22
"627",165.29
"628",91.535
"629",44.744
"630",NA
"631",166.114
"632",52.302
"633",1495.514
"634",35.42
"635",93.007
"636",NA
"637",44.744
"638",163.69
"639",187.864
"640",104.306
"641",185.769
"642",103.606
"643",201.173
"644",93.007
"645",94.227
"646",9.727
"647",80.799
"648",34.172
"649",52.116
"650",9.727
"651",60.91
"652",60.91
"653",156.381
"654",41.816
"655",42.672
"656",171.303
"657",119.062
"658",9.727
"659",67.29
"660",52.223
"661",86.482
"662",100.146
"663",44.744
"664",85.448
"665",83.761
"666",53.575
"667",133.697
"668",41.816
"669",644.945
"670",135.408
"671",220.125
"672",141.716
"673",142.778
"674",128.742
"675",80.799
"676",18.901
"677",83.73
"678",166.114
"679",53.04
"680",141.716
"681",166.114
"682",24.914
"683",35.42
"684",26.347
"685",35.42
"686",48.8
"687",291.439
"688",105.834
"689",NA
"690",206.709
"691",NA
"692",48.8
"693",NA
"694",52.302
"695",137.262
"696",91.535
"697",83.761
"698",469.702
"699",124.951
"700",NA
"701",NA
"702",133.697
"703",48.392
"704",93.007
"705",24.914
"706",80.799
"707",32.928
"708",141.716
"709",135.971
"710",78.898
"711",240.603
"712",127.381
"713",91.535
"714",83.761
"715",52.223
"716",105.863
"717",47.944
"718",94.227
"719",770.961
"720",291.439
"721",NA
"722",6.533
"723",8.217
"724",37.7
"725",204.015
"726",160.43
"727",1276.674
"728",204.043
"729",148.22
"730",206.709
"731",NA
"732",75.501
"733",44.744
"734",142.92
"735",135.971
"736",10.714
"737",240.603
"738",220.125
"739",80.848
"740",165.29
"741",38.023
"742",166.114
"743",128.742
"744",60.194
"745",57.141
"746",165.29
"747",37.7
"748",60.91
"749",92.315
"750",138.471
"751",176.895
"752",206.709
"753",86.482
"754",59.801
"755",133.118
"756",135.408
"757",105.834
"758",93.007
"759",161.098
"760",116.698
"761",37.926
"762",39.896
"763",161.098
"764",67.29
"765",254.86
"766",17.542
"767",60.91
"768",204.015
"769",231.646
"770",222.017
"771",47.944
"772",38.023
"773",6.533
"774",NA
"775",NA
"776",160.43
"777",171.977
"778",52.302
"779",102.231
"780",187.864
"781",NA
"782",103.606
"783",138.471
"784",30.47
"785",30.47
"786",106.196
"787",85.448
"788",51.14
"789",17.542
"790",817.67
"791",205.032
"792",18.752
"793",469.702
"794",141.716
"795",103.606
"796",17.542
"797",103.606
"798",206.709
"799",149.731
"800",30.47
"801",53.575
"802",67.291
"803",148.22
"804",105.863
"805",9.727
"806",171.303
"807",24.914
"808",91.535
"809",176.895
"810",39.896
"811",52.116
"812",NA
"813",77.297
"814",61.304
"815",132.046
"816",117.982
"817",457.012
"818",80.799
"819",77.297
"820",94.227
"821",124.951
"822",26.347
"823",205.032
"824",NA
"825",53.575
"826",132.046
"827",42.631
"828",1290.838
"829",41.816
"830",77.297
"831",61.304
"832",220.125
"833",85.448
"834",240.603
"835",119.062
"836",117.976
"837",138.471
"838",47.944
"839",59.801
"840",319.785
"841",160.43
"842",52.116
"843",192.65
"844",100.146
"845",26.347
"846",30.47
"847",18.752
"848",26.347
"849",106.196
"850",104.306
"851",142.778
"852",32.928
"853",1290.838
"854",52.223
"855",8.217
"856",52.116
"857",77.297
"858",187.864
"859",57.141
"860",171.303
"861",128.742
"862",149.731
"863",37.926
"864",34.172
"865",48.8
"866",206.497
"867",94.557
"868",135.971
"869",58.567
"870",117.982
"871",8.217
"872",37.926
"873",161.693
"874",124.951
"875",85.448
"876",469.702
"877",160.583
"878",817.67
"879",240.603
"880",160.43
"881",NA
"882",142.778
"883",165.29
"884",NA
"885",106.196
"886",83.761
"887",37.7
"888",29.503
"889",135.408
"890",469.702
"891",148.601
"892",80.799
"893",60.91
"894",102.231
"895",58.567
"896",135.971
"897",60.91
"898",26.347
"899",NA
"900",193.116
"901",163.69
"902",59.801
"903",131.034
"904",52.302
"905",60.91
"906",138.471
"907",206.709
"908",77.297
"909",71.013
"910",88.771
"911",205.032
"912",93.007
"913",93.007
"914",53.04
"915",91.535
"916",85.448
"917",86.482
"918",26.347
"919",149.731
"920",457.012
"921",319.785
"922",160.583
"923",100.146
"924",161.693
"925",80.845
"926",137.262
"927",128.181
"928",457.012
"929",171.977
"930",148.22
"931",9.727
"932",1495.514
"933",131.034
"934",41.816
"935",192.65
"936",220.125
"937",254.86
"938",205.032
"939",35.42
"940",220.125
"941",52.116
"942",88.771
"943",142.778
"944",80.848
"945",135.971
"946",93.007
"947",171.303
"948",105.834
"949",94.557
"950",42.631
"951",121.702
"952",116.698
"953",161.693
"954",127.381
"955",121.702
"956",91.535
"957",18.901
"958",NA
"959",442.728
"960",NA
"961",57.141
"962",222.017
"963",161.098
"964",121.702
"965",48.392
"966",NA
"967",644.945
"968",139.64
"969",94.227
"970",48.8
"971",145.655
"972",142.778
"973",64.814
"974",148.601
"975",60.194
"976",42.672
"977",817.67
"978",71.005
"979",35.514
"980",18.901
"981",47.698
"982",145.655
"983",133.697
"984",138.471
"985",139.64
"986",NA
"987",47.698
"988",128.181
"989",192.65
"990",254.86
"991",100.146
"992",41.816
"993",32.398
"994",47.772
"995",201.173
"996",86.482
"997",42.992
"998",127.381
"999",204.043
"1000",105.834
"1001",32.928
"1002",60.91
"1003",116.698
"1004",165.29
"1005",156.381
"1006",205.032
"1007",166.114
"1008",240.603
"1009",457.012
"1010",57.141
"1011",51.14
"1012",42.631
"1013",59.801
"1014",770.961
"1015",817.67
"1016",NA
"1017",254.86
"1018",291.439
"1019",60.91
"1020",80.799
"1021",148.22
"1022",52.116
"1023",240.603
"1024",1290.838
"1025",132.046
"1026",240.603
"1027",127.381
"1028",220.125
"1029",117.976
"1030",442.728
"1031",NA
"1032",205.032
"1033",166.114
"1034",6.533
"1035",83.761
"1036",52.116
"1037",80.848
"1038",52.302
"1039",52.302
"1040",1290.838
"1041",124.951
"1042",104.306
"1043",83.761
"1044",137.262
"1045",141.716
"1046",94.227
"1047",148.22
"1048",91.535
"1049",88.771
"1050",166.114
"1051",42.672
"1052",817.67
"1053",67.291
"1054",145.655
"1055",6.533
"1056",67.29
"1057",24.914
"1058",94.227
"1059",148.601
"1060",124.951
"1061",100.146
"1062",59.093
"1063",80.799
"1064",205.032
"1065",85.448
"1066",100.146
"1067",104.306
"1068",291.439
"1069",16.958
"1070",58.567
"1071",156.381
"1072",86.482
"1073",85.448
"1074",105.863
"1075",47.772
"1076",6.533
"1077",78.898
"1078",71.013
"1079",139.64
"1080",457.012
"1081",57.141
"1082",104.306
"1083",128.181
"1084",220.125
"1085",192.65
"1086",91.535
"1087",254.86
"1088",61.874
"1089",NA
"1090",106.196
"1091",32.928
"1092",149.731
"1093",11.793
"1094",148.22
"1095",53.575
"1096",185.769
"1097",291.439
"1098",NA
"1099",32.398
"1100",291.439
"1101",132.046
"1102",105.863
"1103",83.761
"1104",128.181
"1105",NA
"1106",442.728
"1107",93.007
"1108",94.557
"1109",42.631
"1110",263.998
"1111",59.801
"1112",442.728
"1113",83.73
"1114",6.533
"1115",160.583
"1116",85.448
"1117",83.761
"1118",206.497
"1119",24.914
"1120",139.64
"1121",83.761
"1122",91.535
"1123",47.772
"1124",52.223
"1125",48.392
"1126",133.697
"1127",35.514
"1128",75.501
"1129",29.503
"1130",137.262
"1131",48.8
"1132",206.709
"1133",29.503
"1134",93.007
"1135",71.005
"1136",128.181
"1137",16.958
"1138",185.769
"1139",105.863
"1140",80.799
"1141",119.062
"1142",61.874
"1143",53.575
"1144",6.533
"1145",204.015
"1146",67.29
"1147",131.034
"1148",106.196
"1149",39.896
"1150",139.64
"1151",240.603
"1152",67.291
"1153",102.231
"1154",254.86
"1155",117.976
"1156",47.772
"1157",35.42
"1158",10.714
"1159",47.698
"1160",59.801
"1161",57.141
"1162",52.223
"1163",204.015
"1164",93.007
"1165",64.814
"1166",60.194
"1167",205.032
"1168",185.769
"1169",161.693
"1170",54.224
"1171",138.471
"1172",38.023
"1173",51.14
"1174",41.816
"1175",30.47
"1176",17.542
"1177",17.542
"1178",48.8
"1179",102.231
"1180",117.982
"1181",52.116
"1182",60.194
"1183",1276.674
"1184",206.709
"1185",60.91
"1186",24.914
"1187",59.801
"1188",60.91
"1189",163.69
"1190",138.471
"1191",34.172
"1192",156.381
"1193",9.727
"1194",457.012
"1195",42.672
"1196",160.43
"1197",1290.838
"1198",105.834
"1199",71.013
"1200",160.583
"1201",148.22
"1202",105.863
"1203",160.583
"1204",105.834
"1205",104.306
"1206",117.976
"1207",100.146
"1208",206.709
"1209",30.47
"1210",35.514
"1211",NA
"1212",187.864
"1213",52.116
"1214",145.655
"1215",141.716
"1216",47.772
"1217",206.497
"1218",133.697
"1219",1290.838
"1220",24.914
"1221",128.181
"1222",142.92
"1223",141.716
"1224",37.7
"1225",17.542
"1226",135.971
"1227",11.793
"1228",85.448
"1229",770.961
"1230",60.91
"1231",18.752
"1232",142.778
"1233",18.752
"1234",26.347
"1235",38.023
"1236",59.093
"1237",9.727
"1238",NA
"1239",132.046
"1240",1276.674
"1241",NA
"1242",10.714
"1243",156.381
"1244",770.961
"1245",117.976
"1246",53.04
"1247",53.04
"1248",201.173
"1249",105.834
"1250",171.977
"1251",139.64
"1252",52.116
"1253",131.034
"1254",32.928
"1255",40.831
"1256",529.837
"1257",54.224
"1258",54.224
"1259",47.772
"1260",176.895
"1261",171.977
"1262",204.043
"1263",132.046
"1264",32.398
"1265",124.951
"1266",254.86
"1267",48.392
"1268",48.392
"1269",48.8
"1270",80.848
"1271",30.47
"1272",11.793
"1273",135.408
"1274",133.697
"1275",94.557
"1276",53.04
"1277",32.928
"1278",204.043
"1279",135.971
"1280",60.91
"1281",53.04
"1282",53.04
"1283",156.381
"1284",135.971
"1285",NA
"1286",102.231
"1287",51.14
"1288",1276.674
"1289",48.8
"1290",39.896
"1291",817.67
"1292",47.772
"1293",166.114
"1294",26.347
"1295",80.845
"1296",52.223
"1297",91.535
"1298",57.141
"1299",220.125
"1300",193.116
"1301",204.043
"1302",42.992
"1303",NA
"1304",204.043
"1305",185.769
"1306",38.023
"1307",34.172
"1308",138.471
"1309",47.698
"1310",59.093
"1311",141.716
"1312",37.926
"1313",91.535
"1314",206.497
"1315",161.098
"1316",39.896
"1317",457.012
"1318",132.046
"1319",141.716
"1320",770.961
"1321",185.769
"1322",47.772
"1323",103.606
"1324",NA
"1325",59.093
"1326",48.8
"1327",61.304
"1328",105.834
"1329",206.497
"1330",51.14
"1331",9.727
"1332",100.146
"1333",67.291
"1334",38.023
"1335",187.864
"1336",80.799
"1337",39.896
"1338",NA
"1339",100.146
"1340",1290.838
"1341",142.778
"1342",NA
"1343",102.231
"1344",263.998
"1345",53.575
"1346",16.958
"1347",75.501
"1348",121.702
"1349",54.224
"1350",51.14
"1351",85.448
"1352",NA
"1353",529.837
"1354",9.727
"1355",192.65
"1356",34.172
"1357",187.864
"1358",32.398
"1359",94.557
"1360",42.992
"1361",35.42
"1362",116.698
"1363",91.535
"1364",1290.838
"1365",176.895
"1366",58.567
"1367",48.392
"1368",106.196
"1369",817.67
"1370",263.998
"1371",30.47
"1372",193.116
"1373",205.032
"1374",222.017
"1375",529.837
"1376",59.801
"1377",9.727
"1378",41.816
"1379",165.29
"1380",38.023
"1381",149.731
"1382",75.501
"1383",103.606
"1384",NA
"1385",83.73
"1386",16.958
"1387",100.146
"1388",100.146
"1389",47.944
"1390",1276.674
"1391",160.43
"1392",29.503
"1393",135.971
"1394",201.173
"1395",205.032
"1396",38.023
"1397",135.408
"1398",103.606
"1399",206.497
"1400",103.606
"1401",75.501
"1402",165.29
"1403",149.731
"1404",92.315
"1405",48.392
"1406",176.895
"1407",NA
"1408",105.863
"1409",231.646
"1410",165.29
"1411",254.86
"1412",64.814
"1413",291.439
"1414",100.146
"1415",NA
"1416",133.118
"1417",88.771
"1418",47.698
"1419",131.034
"1420",58.567
"1421",47.698
"1422",263.998
"1423",132.046
"1424",263.998
"1425",116.698
"1426",141.716
"1427",23.841
"1428",91.535
"1429",86.482
"1430",205.032
"1431",204.043
"1432",47.698
"1433",135.971
"1434",100.146
"1435",10.714
"1436",38.023
"1437",NA
"1438",47.944
"1439",32.398
"1440",91.535
"1441",176.895
"1442",105.863
"1443",38.023
"1444",NA
"1445",52.116
"1446",16.958
"1447",105.834
"1448",38.023
"1449",41.816
"1450",42.672
"1451",192.65
"1452",141.716
"1453",93.007
"1454",17.542
"1455",171.303
"1456",18.752
"1457",47.944
"1458",222.017
"1459",30.47
"1460",18.901
"1461",105.863
"1462",156.381
"1463",161.693
"1464",185.769
"1465",171.303
"1466",121.702
"1467",161.098
"1468",35.514
"1469",59.801
"1470",37.926
"1471",132.046
"1472",141.716
"1473",NA
"1474",40.831
"1475",176.895
"1476",40.831
"1477",47.772
"1478",61.304
"1479",104.306
"1480",83.761
"1481",240.603
"1482",53.575
"1483",42.672
"1484",206.709
"1485",220.125
"1486",60.194
"1487",469.702
"1488",204.015
"1489",26.347
"1490",48.8
"1491",192.65
"1492",16.958
"1493",78.898
"1494",78.898
"1495",NA
"1496",47.772
"1497",18.901
"1498",47.944
"1499",469.702
"1500",88.771
"1501",291.439
"1502",206.497
"1503",117.982
"1504",34.172
"1505",98.835
"1506",83.73
"1507",148.601
"1508",161.693
"1509",48.8
"1510",160.43
"1511",102.231
"1512",NA
"1513",60.194
"1514",148.601
"1515",127.381
"1516",53.04
"1517",117.982
"1518",57.141
"1519",50.32
"1520",16.958
"1521",40.831
"1522",42.631
"1523",67.29
"1524",67.29
"1525",71.013
"1526",35.42
"1527",92.315
"1528",187.864
"1529",47.772
"1530",51.14
"1531",59.093
"1532",263.998
"1533",160.583
"1534",71.013
"1535",135.408
"1536",135.971
"1537",59.801
"1538",18.901
"1539",47.698
