"","x"
"1",78.37
"2",208.862
"3",139.216
"4",46.602
"5",53.723
"6",15.601
"7",277.908
"8",568.295
"9",220.828
"10",35.036
"11",267.583
"12",319.969
"13",859.763
"14",124.73
"15",38.364
"16",48.8
"17",8.851
"18",40.451
"19",53.607
"20",11.667
"21",56.387
"22",126.48
"23",318.002
"24",129.517
"25",53.864
"26",905.86
"27",156.156
"28",95.547
"29",59.935
"30",76.406
"31",60.662
"32",518.271
"33",639.048
"34",105.867
"35",214.225
"36",53.607
"37",35.555
"38",68.655
"39",232.565
"40",47.435
"41",499.118
"42",65.724
"43",5.954
"44",77.455
"45",95.915
"46",60.496
"47",NA
"48",67.215
"49",139.216
"50",11.667
"51",126.48
"52",53.607
"53",126.48
"54",NA
"55",35.036
"56",40.451
"57",NA
"58",48.8
"59",262.538
"60",59.092
"61",276.951
"62",NA
"63",84.083
"64",7.739
"65",124.73
"66",78.37
"67",67.215
"68",214.225
"69",11.667
"70",45.153
"71",1241.072
"72",454.813
"73",77.455
"74",454.813
"75",568.295
"76",59.935
"77",65.724
"78",81.569
"79",57.966
"80",58.627
"81",NA
"82",568.295
"83",6.876
"84",568.295
"85",482.223
"86",103.625
"87",73.198
"88",482.223
"89",78.37
"90",905.86
"91",118.535
"92",77.903
"93",77.903
"94",5.876
"95",67.215
"96",208.862
"97",77.505
"98",77.903
"99",9.776
"100",126.48
"101",76.936
"102",194.341
"103",76.936
"104",482.223
"105",135.043
"106",67.215
"107",11.055
"108",185.973
"109",2860.871
"110",47.435
"111",93.432
"112",1252.785
"113",133.169
"114",124.73
"115",2387.087
"116",398.515
"117",46.602
"118",628.501
"119",62.46
"120",118.535
"121",66.016
"122",29.812
"123",214.225
"124",276.951
"125",89.545
"126",39.174
"127",9.313
"128",220.828
"129",73.198
"130",45.446
"131",118.535
"132",NA
"133",1241.072
"134",628.501
"135",NA
"136",17.889
"137",126.48
"138",7.684
"139",262.538
"140",321.062
"141",256.793
"142",256.793
"143",530.835
"144",5.876
"145",98.248
"146",318.002
"147",60.908
"148",35.555
