who,date,site,transect,meter,family,species,leaf.type,no.damaged,moss,pres.predators,photos,leaf.area,leaf.area1,leaf.area2,leaf.area3
XOR,19-Jun,POTDL,RT1,0,Fabaceae,Inga ruiziana,hairy,1,no,,761-763,,69.091,100.197,168.903
XOR,19-Jun,POTDL,RT1,2,Maranraceae,Goeppertia donnell-smithii,glabrous,0,no,,764-766,,593.057,379.567,312.883
XOR,19-Jun,POTDL,RT1,4,Fabaceae,Inga ruiziana,hairy,0,no,,768-770,,63.499,94.204,63.587
XOR,19-Jun,POTDL,RT1,6,Poeceae,,hairy,0,no,,771,,10.809,8.321,16.897
XOR,19-Jun,POTDL,RT1,8,Maranraceae,Goeppertia donnell-smithii,glabrous,2,no,,772-774,,149.342,416.785,43.884
XOR,19-Jun,POTDL,RT1,10,Poeceae,,hairy,0,no,,775,,12.414,11.933,9.599
XOR,19-Jun,POTDL,RT1,12,Poeceae,,hairy,0,no,,777,,9.197,4.2,3.286
XOR,19-Jun,POTDL,RT1,14,Poeceae,,hairy,0,no,,779,,3.632,7.727,8.325
XOR,19-Jun,POTDL,RT1,16,Poeceae,,hairy,0,no,,781,,10.924,11.871,9.272
XOR,19-Jun,POTDL,RT1,18,Poeceae,,hairy,0,no,,785-786,,6.71,8.299,5.798
XOR,19-Jun,POTDL,RT1,20,Amarantaceae,Cyathula achyranthoides,glabrous,0,no,,782-784,,46.274,41.922,45.925
XOR,19-Jun,POTDL,RT1,22,Tectariaceae,Tectaria sp.,glabrous,0,no,,787,,70.652,25.163,37.477
XOR,19-Jun,POTDL,RT1,24,Tectariaceae,Tectaria sp.,glabrous,0,no,,788,,47.384,26.078,11.239
XOR,19-Jun,POTDL,RT1,26,Poeceae,,hairy,0,no,,789,,6.996,8.335,10.403
XOR,19-Jun,POTDL,RT1,28,Amarantaceae,Chamissoa altissima,hairy,0,no,,790,,22.368,29.745,20.342
XOR,19-Jun,POTDL,RT1,30,Maranraceae,Goeppertia donnell-smithii,glabrous,0,no,,791-793,,334.289,316.589,84.131
