who,ID,day.night,date,site,transect,species,meter,stage,clutches,eggs,height,locn,position on leaf,dist to margin,leaf area,photos,other EM in 5m,dist to nearest othr EM,plant family,plant species,leaf surf. type,water depth,water velocity,strm subst,parent,parent position,health at first obs,leaf damage,notes
MET,45.1,N,41930,P5,RT4,HYAVAL,NA,NA,3,NA,NA,NA,under,NA,NA,5122-5133,NA,NA,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,",ale and female; all ID 45 with same male",NA,NA,NA,NA
MET,45.2,N,41930,P5,RT4,HYAVAL,NA,NA,3,NA,NA,NA,under,NA,NA,5122-5133,NA,NA,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,",ale and female",NA,NA,NA,NA
MET,45.3,N,41930,P5,RT4,HYAVAL,NA,NA,3,NA,NA,NA,under,NA,NA,5122-5133,NA,NA,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,",ale and female",NA,NA,NA,NA
MET,n5,N,41934,P5,RT1,ESPPRO,NA,NA,1,NA,105,over water,top,NA,NA,589-598,NA,NA,Piperaceae,Piper decurrens,glabrous,NA,NA,mud,no,NA,NA,NA,NA
MET,n6,N,41934,P5,RT1,ESPPRO,NA,NA,1,NA,121,over water,top,NA,NA,599-603,NA,NA,Arecaceae,NA,glabrous,NA,NA,NA,NA,NA,NA,NA,bifucated leaf (palmish but not?) on all fallen trees
MET,n7,N,41938,P5,RT2,HYAVAL,NA,NA,1,NA,167,NA,under,NA,NA,NA,NA,NA,Rhamnaceae,Colubrina spinosa,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,n8,N,41938,P5,RT2,TERSPI,50,1,1,18,140,over water,under,NA,NA,5387,NA,NA,Melastomataceae,Miconia gracilis,glabrous,32,NA,NA,no,NA,NA,damaged leaf,NA
MET,n9,N,41938,P5,RT2,TERSPI,50,4,1,NA,110,over water,under,NA,NA,5388,NA,NA,Melastomataceae,Miconia gracilis,glabrous,NA,NA,NA,no,NA,NA,damaged leaf,NA
MET,123,N,41954,Tir,RT3,TERSPI,NA,1,1,17,230,NA,under,0,NA,5719-5727,NA,NA,Araceae,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,181,N,41955,Tir,RT2,TERSPI,NA,NA,1,NA,131,NA,under,NA,NA,NA,NA,NA,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,no,NA,NA,NA,NA
MET,321.10000000000002,N,41967,POT4,RT1,HYAVAL,NA,2,2,39,NA,over water,under,NA,NA,6153-6165,NA,NA,Marantaceae,Geoppertia inocephala,glabrous,NA,NA,NA,"male guarding not touching, same male as 321.2",not touching,NA,NA,NA
MET,321.2,N,41967,POT4,RT1,HYAVAL,NA,3,2,38,NA,over water,under,NA,NA,6153-6165,NA,NA,Marantaceae,Geoppertia inocephala,glabrous,NA,NA,NA,"male guarding not touching, same male as 321.1",not touching,NA,NA,NA
MET,734,N,42029,P5,RT2,TERSPI,10,3,1,NA,150,over water,under,NA,NA,7590-7595,NA,NA,Arecaceae,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,735,N,42029,P5,RT2,TERSPI,10,2,1,NA,87,over bank,under,NA,NA,7596-7600,NA,NA,Araceae,Spathiphyllum sp.,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,721,N,42029,P5,RT4,ESPPRO,20,NA,1,NA,260,over water,top,NA,NA,7554-7561,NA,NA,Salicaceae,Ryania speciosa,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,865,N,42041,POT4,RT1,TERSPI,NA,NA,1,NA,115,over water,under,NA,NA,7805-7809,NA,NA,Piperaceae,Piper pseudobumbratum,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,866,N,42041,POT4,RT1,TERSPI,NA,NA,1,NA,58,over bank,under,NA,NA,7968-7974,NA,NA,Araceae,Philodendron grandipes,glabrous,NA,NA,NA,no,NA,fungus/parasite,NA,NA
MET,915,N,42045,P13,RT3,TERSPI,50,1,1,24,126,over water,under,NA,NA,8209-8213,NA,NA,Heliconiaceae,NA,glabrous,NA,NA,NA,no,NA,NA,damaged leaf,NA
MET,949,N,42052,Tir,RT1,ESPPRO,NA,2,1,NA,165,over water,moss,NA,NA,8310-8311,NA,NA,Moss,NA,other,NA,NA,mud,no,NA,NA,NA,NA
MET,947,N,42052,Tir,RT2,TERSPI,NA,1,1,15,220,over water,under,NA,NA,8308,NA,NA,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,no,NA,NA,NA,NA
MET,973,N,42053,Tir,RT1,TERSPI,NA,1,1,18,NA,over bank,under,NA,NA,8396,NA,NA,Piperaceae,Piper pentagonum,hairy,NA,NA,mud,male nearby leaf onsame plant,NA,NA,NA,NA
MET,964,N,42053,Tir,RT2,TERSPI,NA,4,1,NA,NA,over water,under,NA,NA,8368,NA,NA,Araceae,NA,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,969,N,42053,Tir,RT3,ESPPRO,NA,NA,1,NA,NA,over water,moss,NA,NA,8390-8391,NA,NA,Moss,NA,other,NA,NA,NA,no,NA,NA,NA,NA
MET,1045,N,42058,P1,RT1,ESPPRO,NA,NA,1,NA,221,over water,top,NA,NA,8531-8536,NA,NA,Elaeocarpaceae,Sloanea geniculata,hairy,NA,NA,mud,no,NA,NA,NA,NA
MET,1046,N,42058,P1,RT1,ESPPRO,NA,NA,1,NA,200,NA,moss,NA,NA,8531-8536,NA,NA,Moss,NA,other,NA,NA,mud,no,NA,NA,NA,NA
MET,1056,N,42059,P1,RT3,TERSPI,NA,NA,1,NA,200,over water,under,NA,NA,8528,NA,NA,Costaceae,NA,glabrous,NA,NA,mud,no,NA,NA,NA,NA
MET,3457,N,42145,POT4,RT1,ESPPRO,NA,NA,1,NA,NA,over water,moss,NA,NA,NA,NA,NA,Moss,NA,other,NA,NA,NA,no,NA,NA,NA,NA
MET,3458,N,42145,POT4,RT1,TERSPI,NA,NA,1,NA,80,over water,under,NA,NA,NA,NA,NA,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,no,NA,NA,NA,NA
MET,3459,N,42145,POT4,RT1,HYAVAL,NA,NA,1,NA,140,over water,under,NA,NA,NA,NA,NA,Marantaceae,Geoppertia inocephala,glabrous,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,2017,N,42164,P5,RT4,HYAVAL,NA,NA,1,NA,65,NA,NA,NA,NA,9505,NA,NA,Hernandiaceae,Hernandia didymantha,glabrous,NA,NA,NA,male guarding,not touching,NA,NA,NA
MET,2039,N,10-June-15,P5,RT1,ESPPRO,NA,NA,1,NA,190,over water,top,NA,NA,9582-9591,NA,NA,Piperaceae,Piper decurrens,glabrous,NA,NA,NA,no,NA,NA,NA,NA
MET,2041,N,10-June-15,P5,RT1,ESPPRO,NA,4,1,NA,124,over bank,top,NA,NA,9598,NA,NA,Piperaceae,Piper decurrens,glabrous,NA,NA,NA,no,NA,NA,NA,NA
