who,date,site,transect,meter,family,species,leaf.type,no.damaged,moss,pres.predators,photos,leaf.area,leaf.area1,leaf.area2,leaf.area3
MET,28-Jun-17,P15,RT2,2,Pteridophyta unknown familiy,,spores,0,no,no,1156,,10.714,11.793,18.752
MET,28-Jun-17,P15,RT2,4,Pteridophyta unknown familiy,,spores,0,no,no,1157,,6.533,8.217,9.727
MET,28-Jun-17,P15,RT2,6,Burseraceae,Protium panemense,glabrous,0,no,no,1158-1160,,67.291,88.771,161.693
MET,28-Jun-17,P15,RT2,8,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,0,no,no,"1164, 1165, 1167",,171.303,141.716,148.22
MET,28-Jun-17,P15,RT2,10,Rubiaceae,Warszewiczia coccinea,hairy,1,yes,no,1168-1170,,187.864,160.43,132.046
MET,28-Jun-17,P15,RT2,12,Cyclanthaceae,,glabrous,0,no,no,1172-1174,,291.439,222.017,133.697
MET,28-Jun-17,P15,RT2,14,Heliconiaceae,Heliconia irrasa,glabrous,0,no,no,1175-,,254.86,163.69,47.772
MET,28-Jun-17,P15,RT2,16,Annonaceae ,Guataria auringinosa,hairy,0,no,no,1184-1186,,204.043,121.702,85.448
MET,28-Jun-17,P15,RT2,18,Lacistemataceae ,Lozania pittieri,glabrous,0,no,no,1187,,35.514,53.04,42.992
MET,28-Jun-17,P15,RT2,20,Tectariaceae,Tectaria sp.,glabrous,0,no,no,1189,,148.601,60.91,51.14
MET,28-Jun-17,P15,RT2,22,Tectariaceae,Tectaria sp.,glabrous,0,no,no,1190,,204.015,44.744,71.013
MET,28-Jun-17,P15,RT2,24,Rubiaceae,Warszewiczia coccinea,hairy,0,no,no,1191-1193,,59.093,42.631,35.42
MET,28-Jun-17,P15,RT2,26,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,2,no,no,1194-1196,,54.224,53.575,23.841
MET,28-Jun-17,P15,RT2,28,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,0,no,no,1198-1200,,160.583,193.116,135.408
MET,28-Jun-17,P15,RT2,30,Cyclanthaceae,Dicranopygium umbrophilum,glabrous,0,no,no,1201-1203,,75.501,124.951,80.848
