who,date,site,transect,meter,family,species,leaf.type,no.damaged,moss,pres.predators,photos,leaf.area,leaf.area1,leaf.area2,leaf.area3,notes
MET,3-Jun-17,P16,RT1,2,Araceae,Philodendron alliodorum,glabrous,0,no,,628-630,,81.87,79.96,89.42,
MET,3-Jun-17,P16,RT1,4,Costaceae,Costus malorteanus,hairy,0,no,,623-627,,264.42,173.06,166.23,
MET,3-Jun-17,P16,RT1,6,Myrtaceae,Eugenia hartshornii,glaucous,0,yes,,"615-619, 620-622",,86.85,75.56,104.29,
MET,3-Jun-17,P16,RT1,8,Ochnaceae,Quiina macrophylla,glabrous,1,no,,"608-611, 612-614",,38.52,62.83,31.98,
MET,3-Jun-17,P16,RT1,10,Fabaceae,Pentaclethra macroloba,glabrous,0,no,,606-607,,,,,
MET,3-Jun-17,P16,RT1,12,Arecaceae,Welfia regia,glabrous,0,no,,603-605,,83.26,32.42,66.06,
MET,3-Jun-17,P16,RT1,14,Moraceae,Maquira guianensis,glabrous,0,yes,,508-510,,161.62,198.07,228.1,
MET,3-Jun-17,P16,RT1,16,Araceae,Spathiphyllum sp.,glabrous,2,no,,"511-516, 517-519",,464.08,801.01,709.15,
MET,3-Jun-17,P16,RT1,18,Araceae,Spathiphyllum sp.,glabrous,1,no,,"520-522, 523-525",,159.89,141.18,168.81,
MET,3-Jun-17,P16,RT1,20,Tectariaceae,Tectaria sp.,spores,1,no,,"526-527, 528",,122.51,44.42,69.72,
MET,3-Jun-17,P16,RT1,22,Araceae,Spathiphyllum sp.,glabrous,0,no,,529-531,,317.55,188.38,155.48,
MET,3-Jun-17,P16,RT1,24,Melastomataceae,Conostegia micrantha,hairy,0,no,,"532-536, 537-539",,38.99,132.66,219.79,
MET,3-Jun-17,P16,RT1,26,Achariaceae,Carpotroche platyptera,,0,no,,"540-543, 544-546",,75.47,83.49,74.07,
MET,3-Jun-17,P16,RT1,28,Arecaceae,Calyptrogyne ghiesbreghtiana,glabrous,3,no,,"547-549, 550-552",,1300.95,774.69,1172.13,
MET,3-Jun-17,P16,RT1,30,Cyclanthaceae,Dicranopygium wedelii,glabrous,0,no,,"553-555, 556-558",,104.38,109.01,39.95,
MET,3-Jun-17,P16,RT1,32,Araceae,Philodendron alliodorum,glabrous,0,no,,"559-560, 561-563",,135.24,114.76,157.12,
MET,3-Jun-17,P16,RT1,34,Araceae,Philodendron alliodorum,glabrous,1,no,,564-566,,53.33,24.7,24.12,
MET,3-Jun-17,P16,RT1,36,Araceae,Philodendron alliodorum,glabrous,0,no,,567-569,,148.77,182.54,115.23,
MET,3-Jun-17,P16,RT1,38,Rubiaceae,Palicourea hondensis,glabrous,0,no,,"570-577, 578-580",,47.96,197.46,206.98,
MET,3-Jun-17,P16,RT1,40,Arecaceae,Geonoma congesta,glabrous,2,no,,584-589,,1091.68,1156.62,482.21,
